Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb_Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
250,tt10110326,4/28/2024,4/28/2024,,Mario & Sonic at the Olympic Games: Tokyo 2020,Mario & Sonikku at Tôkyô 2020 orinpikku,https://www.imdb.com/title/tt10110326/,Video Game,6.3,,2019,"Family, Sport",183,11/5/2019,"Naohiro Hirao, Hiroyuki Kubota"
259,tt18184350,4/28/2024,4/28/2024,,Mario Strikers: Battle League,Mario Strikers: Battle League,https://www.imdb.com/title/tt18184350/,Video Game,6.3,,2022,"Action, Fantasy, Sport",162,6/10/2022,Devon Blanchet
12,tt3410580,4/28/2024,4/28/2024,,Punch Ball Mario Bros.,Punch Ball Mario Bros.,https://www.imdb.com/title/tt3410580/,Video Game,6.2,,1984,Action,23,7/10/1984,
169,tt1107264,4/28/2024,4/28/2024,,Mario & Sonic at the Olympic Games,Mario & Sonic at the Olympic Games,https://www.imdb.com/title/tt1107264/,Video Game,6.2,,2007,"Adventure, Family, Fantasy, Sport",621,11/6/2007,Eigo Kasahara
201,tt2758412,4/28/2024,4/28/2024,,Mario and Donkey Kong: Minis on the Move,Mario and Donkey Kong: Minis on the Move,https://www.imdb.com/title/tt2758412/,Video Game,6.2,,2013,Action,31,5/9/2013,
8,tt2318635,4/28/2024,4/28/2024,,Pinball,Pinball,https://www.imdb.com/title/tt2318635/,Video Game,6.1,,1983,,87,10/18/1985,
21,tt3422332,4/28/2024,4/28/2024,,All Night Nippon Super Mario Bros.,All Night Nippon Super Mario Bros.,https://www.imdb.com/title/tt3422332/,Video Game,6.1,,1986,"Action, Adventure, Comedy",21,1986,
50,tt3495808,4/28/2024,4/28/2024,,Wario Blast: Featuring Bomberman*!,Wario Blast: Featuring Bomberman*!,https://www.imdb.com/title/tt3495808/,Video Game,6.1,,1994,"Action, Family",27,11/24/1994,Norio Ookubo
42,tt0298610,4/28/2024,4/28/2024,,Yoshi's Cookie,Yoshi no Cookie: Kuruppon Oven de Cookie,https://www.imdb.com/title/tt0298610/,Video Game,6,,1992,"Adventure, Family, Fantasy",104,6/24/1994,"Ryojin, Tatsuhiro Takasago, Hitoshi Yamagami, Masao Yamamoto, Toshihiko Kitazawa, Masayoshi Takatori"
49,tt0310338,4/28/2024,4/28/2024,,Wario's Woods,Wario no mori,https://www.imdb.com/title/tt0310338/,Video Game,6,,1994,"Action, Family, Fantasy",95,12/10/1994,Kenji Miki
140,tt3414760,4/28/2024,4/28/2024,,DK: King of Swing,DK: King of Swing,https://www.imdb.com/title/tt3414760/,Video Game,6,,2005,"Action, Adventure, Family, Fantasy",23,9/19/2005,"Atsushi Kaneko, Masataka Sato"
219,tt3811654,4/28/2024,4/28/2024,,Mario Party 10,Mario Party 10,https://www.imdb.com/title/tt3811654/,Video Game,6,,2015,"Adventure, Family, Fantasy",437,3/20/2015,"Kenji Kikuchi, Shuichiro Nishiya"
231,tt6043360,4/28/2024,4/28/2024,,Super Mario Run,Super Mario Run,https://www.imdb.com/title/tt6043360/,Video Game,6,,2016,"Action, Adventure, Family, Fantasy",491,12/15/2016,Takashi Tezuka
59,tt0472540,4/28/2024,4/28/2024,,Mario's Tennis,Mario's Tennis,https://www.imdb.com/title/tt0472540/,Video Game,5.9,,1995,Sport,44,8/14/1995,"Hitoshi Yamagami, Masao Yamamoto"
70,tt2210126,4/28/2024,4/28/2024,,Picross 2,Picross 2,https://www.imdb.com/title/tt2210126/,Video Game,5.9,,1996,Adventure,14,10/19/1996,Tsunekazu Ishihara
139,tt0476968,4/28/2024,4/28/2024,,Yoshi: Touch & Go,Kyacchi! Tatchi! Yosshî,https://www.imdb.com/title/tt0476968/,Video Game,5.9,,2005,Action,59,3/14/2005,Hiroyuki Kimura
200,tt2727092,4/28/2024,4/28/2024,,Game & Wario,Gêmu & Wario,https://www.imdb.com/title/tt2727092/,Video Game,5.9,,2013,"Action, Comedy",56,6/23/2013,"Goro Abe, Naoko Mori"
227,tt4686006,4/28/2024,4/28/2024,,Mario & Sonic at the Rio 2016 Olympic Games,Mario & Sonic at the Rio 2016 Olympic Games,https://www.imdb.com/title/tt4686006/,Video Game,5.9,,2016,Sport,127,2/18/2016,"Eigo Kasahara, Hiroshi Miyamoto"
221,tt9287012,4/28/2024,4/28/2024,,Dr. Mario: Miracle Cure,Dr. Mario: Miracle Cure,https://www.imdb.com/title/tt9287012/,Video Game,5.8,,2015,Adventure,17,6/11/2015,
268,tt32321266,6/22/2024,6/22/2024,,Nintendo World Championships: NES Edition,Nintendo World Championships: NES Edition,https://www.imdb.com/title/tt32321266/,Video Game,5.8,,2024,Family,15,7/18/2024,
4,tt0186035,4/28/2024,4/28/2024,,Donkey Kong 3,Donkey Kong 3,https://www.imdb.com/title/tt0186035/,Video Game,5.7,,1983,"Action, Family",235,11/19/1983,Shigeru Miyamoto
78,tt2200066,4/28/2024,4/28/2024,,Wrecking Crew '98,Wrecking Crew '98,https://www.imdb.com/title/tt2200066/,Video Game,5.7,,1998,"Action, Family",18,4/12/2024,Eiko Takahashi
142,tt3463452,4/28/2024,4/28/2024,,Donkey Konga 3: Tabe-houdai! Haru Mogitate 50 Kyoku,Donkey Konga 3: Tabe-houdai! Haru Mogitate 50 Kyoku,https://www.imdb.com/title/tt3463452/,Video Game,5.7,,2005,"Family, Music",15,3/17/2005,Hiroyuki Onoda
172,tt3187128,4/28/2024,4/28/2024,,Dr. Mario Online Rx,Dr. Mario & saikin bokumetsu,https://www.imdb.com/title/tt3187128/,Video Game,5.7,,2008,Action,25,5/26/2008,"Hiroyasu Hashidate, Hori Takamasa, Kazuki Yoshihara"
176,tt3396300,4/28/2024,4/28/2024,,Dr. Mario Express,Dr. Mario Express,https://www.imdb.com/title/tt3396300/,Video Game,5.7,,2008,"Family, Musical",26,4/20/2009,
207,tt3313036,4/28/2024,4/28/2024,,Mario Party: Island Tour,Mario Party: Island Tour,https://www.imdb.com/title/tt3313036/,Video Game,5.7,,2013,"Adventure, Family, Fantasy",414,11/22/2013,"Kenji Kikuchi, Yukio Umematsu"
209,tt3473846,4/28/2024,4/28/2024,,Dr. Luigi,Dr. Luigi,https://www.imdb.com/title/tt3473846/,Video Game,5.7,,2013,,22,12/31/2013,"Takao Nakano, Tomoko Nakayama, Daiki Sasaki"
36,tt3389762,4/28/2024,4/28/2024,,Yoshi,Yoshi,https://www.imdb.com/title/tt3389762/,Video Game,5.6,,1991,"Family, Fantasy",135,6/1/1992,
