Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb_Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
18,tt0204658,4/28/2024,4/28/2024,,Super Mario Bros.: The Lost Levels,Super Mario Bros. 2,https://www.imdb.com/title/tt0204658/,Video Game,7.3,,1986,"Action, Adventure, Family, Fantasy",1617,6/3/1986,"Shigeru Miyamoto, Takashi Tezuka"
120,tt0420507,4/28/2024,4/28/2024,,"WarioWare, Inc.: Mega Party Game$!",Atsumare!! Meido in Wario,https://www.imdb.com/title/tt0420507/,Video Game,7.3,,2003,"Comedy, Family, Fantasy",97,4/5/2004,Goro Abe
122,tt0426527,4/28/2024,4/28/2024,,Mario Party 5,Mario Party 5,https://www.imdb.com/title/tt0426527/,Video Game,7.3,,2003,"Adventure, Family, Fantasy",434,11/10/2003,Kenji Kikuchi
189,tt1921013,4/28/2024,4/28/2024,,Mario Sports Mix,Mario Sports Mix,https://www.imdb.com/title/tt1921013/,Video Game,7.3,,2010,"Family, Sport",234,2/7/2011,Shin Azuma
267,tt29143363,4/28/2024,4/28/2024,,Luigi's Mansion 2 HD,Luigi's Mansion 2 HD,https://www.imdb.com/title/tt29143363/,Video Game,7.3,,2024,"Adventure, Fantasy, Horror, Mystery",97,6/27/2024,
46,tt0309840,4/28/2024,4/28/2024,,Mario & Wario,Mario & Wario,https://www.imdb.com/title/tt0309840/,Video Game,7.2,,1993,"Action, Adventure",52,8/27/1993,Satoshi Tajiri
69,tt1340817,4/28/2024,4/28/2024,,Donkey Kong Land 2,Donkey Kong Land 2,https://www.imdb.com/title/tt1340817/,Video Game,7.2,,1996,"Action, Adventure, Fantasy",88,1996-09,
77,tt0300682,4/28/2024,4/28/2024,,Yoshi's Story,Yosshî sutôrî,https://www.imdb.com/title/tt0300682/,Video Game,7.2,,1997,"Adventure, Family, Fantasy",374,3/9/1998,"Hideki Konno, Toshihiko Nakago"
84,tt0292096,4/28/2024,4/28/2024,,Mario Golf,Mario Golf 64,https://www.imdb.com/title/tt0292096/,Video Game,7.2,,1999,"Family, Sport",335,7/26/1999,"Haruki Kodera, Yasuhiro Taguchi"
146,tt1234691,4/28/2024,4/28/2024,,Mario Tennis: Power Tour,Mario Tennis Advance,https://www.imdb.com/title/tt1234691/,Video Game,7.2,,2005,Sport,65,12/5/2005,
147,tt0485991,4/28/2024,4/28/2024,,SSX on Tour,SSX on Tour,https://www.imdb.com/title/tt0485991/,Video Game,7.2,,2005,Sport,200,10/11/2005,
161,tt1756478,4/28/2024,4/28/2024,,Diddy Kong Racing DS,Diddy Kong Racing DS,https://www.imdb.com/title/tt1756478/,Video Game,7.2,,2007,Adventure,55,2/5/2007,Gary Richards
165,tt3495900,4/28/2024,4/28/2024,,Itadaki Street DS,Itadaki Street DS,https://www.imdb.com/title/tt3495900/,Video Game,7.2,,2007,,6,6/21/2007,
241,tt8589722,4/28/2024,4/28/2024,,Super Mario Party,Super Mario Party,https://www.imdb.com/title/tt8589722/,Video Game,7.2,,2018,"Action, Adventure, Family",904,10/5/2018,Shuichiro Nishiya
30,tt0204291,4/28/2024,4/28/2024,,Dr. Mario,Dr. Mario,https://www.imdb.com/title/tt0204291/,Video Game,7.1,,1990,Family,1112,10/19/1990,"Takahiro Harada, Hitoshi Yamagami"
106,tt0300181,4/28/2024,4/28/2024,,Mario Kart: Super Circuit,Mario Kart: Super Circuit,https://www.imdb.com/title/tt0300181/,Video Game,7.1,,2001,"Action, Family, Sport",635,8/11/2001,"Takeshi Ando, Yukio Morimoto"
125,tt0469125,4/28/2024,4/28/2024,,Mario Golf: Advance Tour,Mario gorufu: GBA tsuâ,https://www.imdb.com/title/tt0469125/,Video Game,7.1,,2004,Adventure,53,6/22/2004,Yasuhiro Taguchi
156,tt3389670,4/28/2024,4/28/2024,,Mario vs. Donkey Kong 2: March of the Minis,Mario vs. Donkey Kong 2: March of the Minis,https://www.imdb.com/title/tt3389670/,Video Game,7.1,,2006,"Action, Comedy, Family",68,9/25/2006,Yukimi Shimura
175,tt1462902,4/28/2024,4/28/2024,,Wario Land: Shake It!,Wario rando sheiku,https://www.imdb.com/title/tt1462902/,Video Game,7.1,,2008,"Action, Adventure, Comedy, Family, Fantasy",126,9/22/2008,Madoka Yamauchi
211,tt3089966,4/28/2024,4/28/2024,,Yoshi's New Island,Yoshi's New Island,https://www.imdb.com/title/tt3089966/,Video Game,7.1,,2014,"Adventure, Fantasy",872,3/14/2014,Masahide Kobayashi
225,tt5289322,4/28/2024,4/28/2024,,Mario & Luigi: Paper Jam,Mario & Luigi: Paper Jam,https://www.imdb.com/title/tt5289322/,Video Game,7.1,,2015,Action,140,1/22/2016,Shunsuke Kobayashi
230,tt6484760,4/28/2024,4/28/2024,,Super Mario Maker for Nintendo 3DS,Super Mario Maker for Nintendo 3DS,https://www.imdb.com/title/tt6484760/,Video Game,7.1,,2016,"Action, Adventure, Family, Fantasy",96,12/2/2016,"Yosuke Oshino, Yoshikazu Yamashita"
239,tt7875960,4/28/2024,4/28/2024,,Mario Tennis Aces,Mario Tennis Aces,https://www.imdb.com/title/tt7875960/,Video Game,7.1,,2018,"Action, Sport",410,6/22/2018,"Shugo Takahashi, Tomohiro Yamamura"
254,tt13488368,4/28/2024,4/28/2024,,Game and Watch: Super Mario Bros.,Game and Watch: Super Mario Bros.,https://www.imdb.com/title/tt13488368/,Video Game,7.1,,2020,"Action, Adventure, Family, Fantasy",30,11/13/2020,
